,TID,POST,LABEL
0,250,thank awesom week,1
1,95,end new jona amaz aw yep dat tear kinda realli awesom nice spit take,1
2,554,blog pretti lame stori unreleas bike seat tip awesom,1
3,766,tweet fun cruis vibe insha allah ighalofc stan account bridget bema stan account,1
4,617,find interest vespa count motorcycl maryland florida awesom,1
5,600,post europ depress never wors fuck shake sad depress mind,0
6,94,told male colleagu id postpartum depress said nah woman knew realli emot childbirth omg your mansplain im that differ,0
7,219,ahah ill never forget video anna rose eye awesom,1
8,995,amo summer depress,0
9,340,rememb teen sister start depress issu mom perk type took long recogn im 14 yr older psych degre knew better,0
10,230,im awesom alway suspect,1
11,347,happi birthday dudee,1
12,10,bikaç haftadır yerd sıramı kaptırıyorum ama sinirlenmiyorum ülkey bak self antidepress skilli kazandırdı resmen ahahahha,0
13,463,covid19 pandem led higher level depress anxieti suicid tendenc psycholog trauma among american adult earli month spread,0
14,409,crippl depress road chair,0
15,855,okay mentallyil 2011 said okay past depress simpl human messiah left u start preach prophet messiah young boy tri confirm,0
16,633,awesom want help ive told ppl around work collect drop concert,1
17,926,mad suicid late bf call cop go psych ward hr manag talk way feel defeat mentalhealth mentalil depress,0
18,634,im happi got 05cc liquid gold pump tonight itll keep flow hope help get strong,1
19,480,despit random lack energi realli happi right,1
20,108,ka koi hal hy hi nahi depress sleep koi cheez motiv nahi kar rahi ajkal,0
21,299,sadli feel lot deepli depress soul develop incred way mask depress world fear wrongli judg,0
22,826,mani suffer depress arent sad feel noth persist nag anxieti,0
23,206,happi coz went h0me na haha im excit sunday,1
24,181,watch sound music happi place,1
25,994,good nice haha hope your awesom day,1
26,479,wont share awesom hotel room view fan twitter cant wait concert monday,1
27,771,depress mainli manifest apathi everyth noth give pleasur passion come back thing like includ makeup want start new hobbi that realli neat,0
28,390,happi mother day allim gonna help mine right nowsh deserv ityou guy,1
29,681,look ahead readi make awesom week want get sunday night know total rock go woohoo,1
30,443,said hello hk im soooo happi luv soooo much,1
31,461,add autism known depress anxieti offici diagnos surpris,0
32,902,love awesomest devin delight life how memori lol,1
33,543,depress hand he misinform hyperfix stupid speak subject he uneduc encourag take 5 minut simpl googl search formal apolog past give ammunit peopl,0
34,730,thanki,0
35,76,fave drummer remix fave rapper 3am die happi,1
36,159,realli bad take would tri help money obvious money give better option fix everyth extrem poor long time depress beat,0
37,195,good day depress kick drag hole loneli sad,0
38,944,wolverin awesom,1
39,647,peopl bias day follow anyth said favourit person blindli whatev may truth prevail think person depress abl learn codingmay common wont get,0
40,345,u becom awesom lol,1
41,543,liberta get 0 seat ill happi e9,1
42,77,yeah lookout tweet happi tweet,1
43,953,happi sox today,1
44,558,absolut free join group take part challeng click join pleas answer group question mentalwellb mentalhealthmatt mentalil anxieti depress lockdown,0
45,598,fair hug happi birthday though,1
46,149,today daili cycl think depress came lil earli happi wednesday,1
47,141,want say hi get use twitterit best met awesom peopl take care,1
48,385,everyon follow coz she awesom town,1
49,286,all haben spaß außer mir warum ich sitz lieber zu haus weil da wenig stress bedeutet und angenehm ist und dann bin ich neidisch auf die gemeinsamen erlebniss der anderen dank leben depress kann scheiß sein,0
50,399,eww lol twitter look depress lol happi time eat breakfast ooober hungri ice cream shall b egg lol,1
51,776,organ wine kill also happi birthday old morrissey,1
52,477,ha everybodi say goodnight twitter twitterroo night umm ok that itnight,0
53,567,awesom amaz talk,1
54,512,happi mum day ppl,1
55,478,depress mental ill thought help,0
56,637,still readi die hill captain america die virgin peggi carter didnt give shit past spent lifetim drink wast away depress came back lie aveng,0
57,779,sound awesom hope your fun cant wait see good luck rest rehears,1
58,681,problem grip heighten anxieti lock pit depress isnt necessarili true anxieti depress rob u agenc sometim need help intervent,0
59,867,deadass im bad depress day swear im ignor sincer lose abil understand word,0
60,875,surviv mani episod loss failur disappoint bad relationship bad job poverti depress health problem career setback toxic friendship come realis worri life exacerb fear attach,0
61,981,sure mood import emot well random peopl act like complet fool twitter real life solv problem relat depress anxieti probabl fine much sometim,0
62,125,take back dont trust friend depress break anyth want vibe irl friend hope get better sea thief possibl content channel vibe synthwav,0
63,956,anoth piec ive written today mentalhealth mentalil anxieti suicideprevent depress autism itsokaytonotbeokayep13 endthestigma,0
64,865,make sure happi alon share life someon els old,1
65,192,happi brother sisterinlaw right keep finger toe cross,1
66,62,happi birthday,1
67,244,think read real blog wwwlisarcasticblogspotcom awesom like lol,1
68,251,someon struggl depress suicid 2 attempt say logic soft tissu paper let what said podcast caus much grief nigga didnt know next rent check come 2 kid wife provid,0
69,871,happi mother day guatemala would firecrack 4am honor,1
70,43,sure messag facebook ask peopl depress talk someon etc sad stori seem,0
71,739,mikrokosmo give post concert depress havent even concert,0
72,275,depress start counsel next monthal want happi,1
73,666,seem forget job disappear watch great recess gdp low depress tri fals distract resign famili 150000 die dt neglig vote,0
74,957,21 move back parent home depress sad fill hard year go,0
75,829,omg thank nikki vote your awesom,1
76,293,express frustrat depress anger lockdown situat especi america also adher know right thing two mindset coexist,0
77,460,depress seriou bitch weigh u differ know almost gotten least time take time,0
78,9,simpl girloatm make realli happi morningand bloom wisteria,1
79,444,post logic awesom envelop full github sticker yay,1
80,822,desper alway caus otherwis law peopl commit mani crime theft abus murder beat incompet current potu long rememb caus greatest desper depress world ever seen thank donni,0
81,1,18 differ didnt access drug depress anxieti med see lot counsellor everyth go im turn 21 day ago happi,1
82,452,awesom pic mislead bigger irl go tan lay egg,1
83,216,happi cri,1
84,929,happi birthday hope breakfast brunch burrito astound sound,1
85,952,life top say love yall int univeres beliv happi day peep,1
86,875,ладно это годно,0
87,427,anxieti depress real use excus shitti,0
88,893,someon come comfort deal anxieti depress mental ill love everyth go stori one time anxiou realli sad,0
89,26,harri connick jr strateg place offic continu inspir constant swoon happyclam,1
90,408,happi birthday hime,1
91,350,morn twit happi sunday yall sunni durham,1
92,312,good morn everyon heart happi smile morn hope,1
93,983,ill happi tweet ya well quottweet tweetquot lol,1
94,307,happi gilmor,1
95,252,proof never know person hang suffer depress master art hide well kind gentl,0
96,21,substanc abus fuell massiv chang mh depress flourish develop wonder im kill braincel make depress im activ rout develop new neural pathway away neurodiversesquad,0
97,662,happi tomorrow start summer school hour tuesday im go enjoy long weekend busi,1
98,964,hi cassad hope awesom time tour,1
99,703,excit readi awesom commun driveway,1
100,472,research shown green space whether indoor outdoor lower symptom anxieti depress mood disord well make u feel social connect,0
101,880,everyday present new challeng im best make sure world know ok depress ok put peopl love peac chainlinkemoji link symbol supportmentalhealth,0
102,578,rememb want medic examin coron throughout highschool actual super depress thing hit hard passion interest thing life fade away,0
103,42,awwwww deserv team dedic caus simpl awesom,1
104,487,mother citi terrel texa district 2 citi council seat im mia lol happi mother day,1
105,993,rememb awesom servic yesterday,1
106,379,dont think anxieti depress sad stress impact physic health think,0
107,811,yea insur gonna pay happi lol im take tommorrow,1
108,653,yt made happi guy amaz love thank oh goodmorn may day good mine,1
109,161,thank share garon fellow anxietydepress effexor pal awesom huge step deserv content fulfil love other,1
110,509,well video preview search result bing awesom go bing,1
111,720,tell depress real thing ordinari sad sape yg penah rasa tahu sakit dia cm emoji reliev face,0
112,947,depress alon,0
113,849,thank happi saturday,1
114,418,she medic practition hippocrat oathsh clinic psychologist think bsc fellowship degre she suppos initi counsel refer proper md psychiatrist treatmentnot use term like bipolar depress,0
115,255,thought josep illic depress seriou wife asham disgust cheat someon,0
116,580,soooo happi co thing chang 4 better,1
117,916,good thing p amp k day job,1
118,900,dont shut pleas keep upgrad flow smoothli happi,1
119,322,go work hungov awesom lol good thing coffe swiss roll,1
120,467,ye awesom feder move final believ,1
121,714,mark awesom thank,1
122,704,dont get chanc 2 talk 2 hand awesomest weekend amp ill miss safe well love u,1
123,446,feel stress depress anxieti relat xxx,0
124,161,sad realiz depress true friend,0
125,986,depress depress hi someon take fuck away pleas dont want,0
126,985,luv musicmonday awesom,1
127,897,awesomewhat tell,1
128,586,pleas pleas anyon experi depress anyon import life done realli stuck person get genuin helpconnect pleas advic welcom,0
129,974,1 season depress suffer enough,0
130,738,look snug happi,1
131,798,hope everyon fabul friday happi amp safe holiday weekend xoxo summer,1
132,388,buti na lang talagang may wattpad salamat na lang kundi lunod na ako depress,0
133,108,kieri make serious awesom bread yum,1
134,749,vrai aidangallagh tenu propo déplacé enver personn souffrant dépression bloqué live aussi fait croir cancer forcerait fan devenir vegan,0
135,673,firmli believ feel pain first import step happi feelthepain feelthepainfreethepain itsokaynottobeokay mentalhealth mentalhealthawar depress depressionawar happi happi iamhappi behappi,0
136,296,cours there dark side lifestyl dj stress anxieti make sad peopl think dj glamor life dont there struggl anxieti stress depress realli push balanc,0
137,802,head pound bed bet youll happi 12 hour im twitter lol nite everybodi,1
138,531,song day run dont walk hey monday cassade rock like 247 love,0
139,151,hi cassad hope awesom time tour,0
140,422,happi birthday chaela love yoooooou,1
141,423,aloooootttt ppl suffer depress dont even know iy,0
142,172,happi,1
143,505,depress feel lone that depress depress that feel lone,0
144,57,depress your like sinc arriv world,0
145,209,final decid amp look forward month relax amp happi time famili amp friend,1
146,30,guess deserv happi instead depress,0
147,531,watch dad die doubl pneumonia lung sclerosi definit isnt love slip away she horribl person realli youd think she written spoken length bee battl depress shed attempt better human vile,0
148,137,heart speech omg 5 year cope stress depress anxieti nd still best end he unemploy stress broken lost monet,0
149,16,awesom im glad like im jealou,1
150,702,ive found least depress go long without feel anyth end feel someth almost alway much emot hard control moment happen,0
151,787,happi nation day norway hipp hipp hurra 17 mai,1
152,235,think im okay insid im okay depress joke fight self,0
153,49,happi two year anniversari best gurrfrann whole world,1
154,791,perfect day west cork big happi hello everyon,1
155,600,xeyrox coup détruit serv glorystar plu 2 foi histoir mettr dépression pote nest lfdp,0
156,609,love guy im go work know im happi caus get sleep tonight,1
157,393,awesom excit morn run met streaker wild pig rabbit wood fanni sophi beyond control,1
158,543,got postnight depress,0
159,338,love mani amaz fic two especi stuff shouldv happen season two,0
160,589,technic speak antidepress tend make peopl diagnos depress sadden least first month take make depress wors,0
161,10,lazi awesom,1
162,578,realli beat fuck depress ugli unnecessari unneed unlik as last week coupl spell final back goofi laugh everyth like spongebob,0
163,392,publish everybodi titl jim ferguson lesley storm stuart macgregor john herdman visit websit fun safeti creativ,1
164,318,look awesom award congratul win deserv,1
165,64,amaz show salt lake love super special awesom mani word describ thank hard work,1
166,558,im happi content,1
167,953,wowthat would awesom need notebook cant afford one thought might good quotinbetweenquot thang,1
168,682,happi birthday hope ya day fill joy,1
169,886,pretti awesom day today made lot decis 12 day till nation start,1
170,841,theyr torn awesom look drag around drag around dadblast rain crampin style,1
171,184,youv probabl alreadi decid your go im sure person actual understand hard depress tri make feel bad wish happi birthday anyway al,1
172,52,love miss let ice cream cope post concert depress soon happi andthatsthechri day,0
173,626,busi tho busi v diff way fr use far gdhappi thank ask glad hear ur shoot gg well,1
174,864,depress nap tho,0
175,610,happi birthday,1
176,349,oh rude morn twittervil happi hump day,1
177,646,5th grade slow start sever depress went full forc begin 6th grade,0
178,252,deep depress dont care anyth everyth lame,0
179,593,decreas avail anybodi like project bad vibe ppl around get moodi feel wanna hear depress shit depress respect 2 dif thing shit wack,0
180,787,happi 5 month babe love much make happiest girl entir world,1
181,25,happi see miss ya punkin,1
182,425,happi wellnesswednesday know massagetherapi help symptom depress anxieti hypertens visit websit read research resourc page book next appoint onlin yyc massagecalgari yychealth yychealthyliv rmt,1
183,558,acredito q meu verão vai ser isto wonder depress way,0
184,606,happi bff gujab laker,1
185,107,got cuddl besito want yet as still sad damn depress wild emoji sneez face,0
186,757,around u shake head apart look like sunk depress desir care anymor brief moment clariti could actual breath friend,0
187,263,goodby oppress town colorado hello happi town go let bring,1
188,23,happi mother day im gunna crawl ball act like dont exist lmfaoo,1
189,894,oh youv watch 3 alreadi awesom,1
190,228,sit deck robert holden author happi beauti man gift coach im happi,1
191,739,sir hum student futur hai india ka yadi hum hi mental phycal disturb ho fahe hai exam ke karan kya rah gya hai pdahi ab 8 semest 7 semest ke exam diy hue hai kya unk mark ke adhar pr humko promot nahi mil skta sir sabhi student depress ja rahe h,0
192,613,yayyyi im happi right,1
193,229,also model job think scar surgeri would much deterr coupl inch short,0
194,817,get readi minni happi,1
195,717,ok im sad depress nap time emoji sleep face,0
196,352,understand life reflect well sometim face accid quickli return conscious want go back fall depress hole life chang love famili much,0
197,129,aw that sad enjoy work long weekend,0
198,835,depress ive year feel like much burden still talk ive entir stop tell peopl,0
199,287,holi shit saw tornado today amp got sweet roof ive alway want see tornado awesom,1
200,586,may know well know psychiatri well depress manifest mani way obviou peopl around also exgf dont know close im repeat obvious get across ill stop,0
201,331,happi mother day mom,1
202,794,happi record video 22 defo second fave album,1
203,239,hate much happen famili thank god etern protect u readi go road depress,0
204,249,hey yay thank wow ur page awesom,1
205,123,truth hurt,0
206,390,watch cheerlead competit espn2 happi day,1
207,70,nobodi talk anxieti depress caus,0
208,785,memori last nite happi,1
209,750,thank guy helli hansen bozeman mt got rubber player canari happi late bday,1
210,661,oh poor birdi actual theyr prob happymean worm,1
211,882,proactiv happi,1
212,338,mental health ill call depress basic mean im sad lot hard get better,0
213,302,last night gig awesom rock,1
214,404,mayb dont get bcoz dont even know even rspect thatanyway alway happi,1
215,497,habi lunch sm illafifimalch happi see,1
216,942,yum yum love quesadillasand wallpap matter tooo,1
217,737,ever want look awesom thisyou treat one tote bag like did3w support depress donat 50 profit retweet,1
218,498,happi birthday know bare talk anymor want know your biggest art inspir ever someon who save depress alway bring smile face thank everyth youll go far,1
219,937,wildstarb happi rezday captain quit parti,1
220,651,awesom sunday even cider curri nom,1
221,889,sadli deep thought think fare difficult describ paralyz depress struggl stand right,0
222,867,today would perfect day wed happi wed day,1
223,51,brilliant love compass humor class awesom role model especi child young adult happi see forthright mom mental health challeng one request pleas go deep,1
224,774,im happi cant wait till august roll around say game go sad time groupi,1
225,623,awesomee day yayay haha rhyme,1
226,430,link adhd sad adhd parent depress mentalhealth,0
227,476,2018 edit venom hittin eddi inspir bro know live realli fight fight back dark interpret also synonym depress,0
228,617,btw speak mental health depress clinic standpoint commun self,0
229,41,took nearli week break draw depress kick hard hope tomorrow get back,0
230,521,happi sunday tweepl live dream make everi day count continu spread love joy other,1
231,303,prefer purpl especi combin golden two colour look awesom togeth,1
232,461,happi birthday sweet boyfi turnin 22 year young,1
233,537,vile hate individu manifest self depress say suffer wonder reesmogg hand happi decent individu,1
234,990,dont feel bad im 10yr older life still great happi amp posit,1
235,810,grate great marriag awesom kid busi rock guess rest famili ok,1
236,796,thank feel justifi hear someon els btw love matern photosso beauti awesom set wthe bed,1
237,786,bon sen sagirait darret dutilis depress tord quand just gross salop,0
238,342,great laid final guitar rhythm track two song sound awesom mix,1
239,336,basic believ sadist build anticip cruel unusu ye sadist hahahaha,0
240,199,children poet workshop leader school librari websit email katewilliamspoetrycom,1
241,221,well great trip im happi final head home,1
242,68,awesom day cant wait tonight ahahahaha word day pierc lt3,1
243,953,morimoto dinner happi birthday mommi lt3,1
244,614,nan,1
245,404,dancinggggg youv made happi,1
246,572,haha exactli kiss awesom team edward alllll way,1
247,843,connaiss rapproch sentiment eloign hain depress,0
248,231,happi note im head bed torecharg chi tomorrow goodnightweep,1
249,711,ye whiteworkingclass boy fail fed themeith directli indirectlythat gender ethnic redempt entitl one care high suicideselfharm rate despairdepress taught guy like teacher,0
250,900,usual depress,0
251,457,real life offlin dont worri happi,1
252,582,sad cold weather call season depress sad hot weather call countri song,0
253,176,nigga put shorti suffer depress anxieti who alway seek reassur shorti moment overwhelm sad reason,0
254,838,get awesom twitter background,1
255,339,cant guarante youll turn superman consist usag custom feel supercbd fabcbd fabfam fablif happi honest superman hemp sweet ocean breez tech cannabiscommun sqad depress anxieti help,1
256,963,call happi meal tast like whole lot like depress,1
257,933,good morn awesom time ny make sure u relax ur work luv u,1
258,782,ich darf gar nicht daran denken ist zu traurig wäre wennbringt nicht außer depress ist nicht zu ändern ist wie ist damit mu ich lebenshithappen,0
259,197,one legit gave postgam depress bit difficult choos rdr 2 witcher love almost equal definit top 4,0
260,790,econom surpris full blown depress may take quit bit wind sail trump foil campaign strategi iron,0
261,645,bore work esp disney yesterday amaz cannot wait weekend though sad sarah leav,0
262,203,test old shirt first good coz fail two properli look awesom,1
263,235,awesom presid,1
264,62,hey marktoday great hope happi monday time see,1
265,495,recent matrix trilog sittingthat tire awesom matrix trilog favorit sci fi film stori,1
266,464,stimulu wont propel depress david stimulu delay inevit make hit wors happen,0
267,963,happi slightli skinni xx,1
268,637,dude your write song im sure itll awesom twitter song,1
269,819,loneli physic activ mental health covid19 longitudin analysi depress anxieti 2015 2020,0
270,189,oh dont worri dont mind im happi u want meet,1
271,725,yay im soo excit concert im happi ure youtub account back,1
272,657,bad experi fandom love group help depressionanxieti colleg obsess w group year fandom got wors still follow group listen music tho interact w,0
273,207,happi mother day madr,1
274,396,fav song esp parah reh bhi sakog tum kais hoke mujs juda phat jayeng deewarein sunk meri sada,0
275,956,concord st depress v3v5 set rbbb posteriorinferior wall suffer patient need left heart cath asap mayb pda culprit,0
276,90,thank happi monday hope great day,1
277,961,would love poster last panel today qc comic awesom,1
278,115,extrem sad lack energi hopeless irrit troubl concentr feel guilt symptom major depress,0
279,730,depress hit hard danc around disco music obvious help danc skill cat tri attack leg get stay aliv lol,0
280,12,depress fuck joke bro,0
281,120,h8 peopl self diagnos make joke depress addict domest abus ur depress ur sad ur alcohol ur 23 drink weekend funni make joke ur bfgf beat u,0
282,284,happi late morn time everyon,1
283,540,gonna keep happi tonight cost thank kurt hinder ï ½ use,1
284,947,awesom see happen india final know exactli feel struggl depress 18yr continu frustrat famili friend dont get wa,1
285,879,that awesom funni bout monk love,1
286,288,listen awesom link wwwdirtanddieselcom check um,1
287,346,depress trynna creep way back life like lemm alon,0
288,326,depress anxieti hard enough deal th world pleas go back normal pleas,0
289,111,want share thought time distress peopl go emot psycholog depress money feel someon u talk feel reassuredpleas reach peopl make callpleas 2,0
290,635,omg awesom guy tell u,1
291,835,wowganasnya pukul dada dulu masa kecik mak katasaya selalu hentak kepala dekat dind doktor cakap saya memang ada anxieti dengan depress daripada kecik,0
292,871,ah awesom man good hear felt like went well night realli enjoy cant wait come back,1
293,883,happi birthday paula good one,1
294,895,norway im soooo happi quotim love fairytalequot craaaaazzyy hot alexand rybak think im love lt3,1
295,553,agre also like label cptsd depress anxieti child god spiritu human experi better wors anyon face planet,0
296,505,that awesom isnt made moment,1
297,309,dude edward scissorhand awesom need pack girllll dont forget toothbrush haha blast,1
298,244,depress ah feel okay okay sad dont forget peopl care,0
299,8,awesom,1
300,202,gotta touch bc huge differ sad depress,0
301,812,havent realli ever surround peopl funni mayb that sever anxieti depress,0
302,625,ooo join kara club awesom karadioguardicom xx,1
303,115,haha toower awesom,1
304,69,stagger increas covidlink depress anxieti via,0
305,890,happi bday mom tommi,1
306,805,anoth 30 mile bike ride mequon back took much sane rout lake drive back town awesom,1
307,363,wonder day scott awesom im happi night everyon,1
308,793,happi birthday,1
309,789,ye rememb band awesom pleas repli,1
310,381,dont even think depress honestli think im sad lone lazi mental ill conveni excus,0
311,937,run happi place help overcom postpartum depress continu help cope life also provid workout stay healthi,1
312,548,gogol bordello awesom realli nice night,1
313,26,happi good plan walk school listen fray funtim,1
314,90,melt pot happi hour yumm hope dont get bad ga chees beer lol,1
315,569,ok ok depress mentalhealth lovelif workhard smile happi beautifullif lovelif goal keepontri summeriscom,1
316,371,beach awesom today food spoon,1
317,628,cut hair realli realli short result bit strang awesom kiff xd,1
318,606,block everyon im done trust peopl encount bad enough deal depress need sigh name use also depressedwrld could care le last argument anyway suicidedepress real,0
319,320,happi mother day mom,1
320,2,go depress bad realli make see mani peopl realli indivis depressionisr depress,0
321,30,got depress diagnosi start medic couldnt tell reason famili bc reason mom,0
322,393,think next solo compil gonna pretti awesom ive record good stuff imo includ lazi eye gtr lead 1 today,1
323,623,found today get fli hk againwee happi,1
324,195,anoth problem mother bring newborn wellbabi visit mani skip postpartum 6week visit depress potenti lifethreaten problem may diagnos,0
325,40,happi birthday may day spent well never recal event said day night,1
326,68,ur awesom sourc follow mj news especi tour cant wait keep,1
327,849,interview amaz person beat breast cancer homeschool hula hoop awesom,1
328,553,oh happi monday,1
329,975,macbook invit friend twitter happi mother day,1
330,168,never claim met mani happi content peopl work depress hate decis happi aggress argument good look,1
331,412,hmmmm made paint orchestra green unicorn stuff make happi,1
332,990,haha worri would happi half birthday squash,1
333,43,feel better,0
334,162,happi birthday,1
335,889,happi mother day mom mom mom mom woot woot mom rule,1
336,50,night awesom slept 1 watch kyle xy supernatur great,1
