,TID,POST,LABEL
337,324,happi birthday,1
338,69,an even depress hell unknown famili,0
339,946,bt help went depress wasnt anyth seriou though feel sad everyday noth seem bring mood stumbl upon serious start smile immedi love,0
340,434,danc cat depress isol covid19 pandem anyon struggl stori cat depressioncatlov covid19 isol,0
341,260,joy glass chalk awesom truck quotfanimequotd,1
342,39,take deep breathpyuuhhhwhatta shock newsbut im happi,1
343,904,vote think your awesom amazingli enough tho hate lib get stupid gst australia,1
344,245,happi 50th updat thing want parti pant,1
345,361,home happi friend next week,1
346,820,back greenvil go passout day happi back,1
347,632,happi pentecost day may power presenc holi spirit bless richli today everi day jesu name,1
348,682,depress,0
349,991,distant dwell miseri trigger depress happi feel good past day yeah wanna take break spend time stuff likelov,1
350,139,u call trent liar haha that awesom toronto show troubl get sir,1
351,82,ive pass alot feel pain sad depress cri till last breath till ive reach feel noth noth empti,0
352,108,littl quiet sinc last weekend awesom workshop also littl blue depressionâ,1
353,446,depress strike,0
354,607,best mate happi time start make plan weekend let get vodka good time xx,1
355,177,happi note wed awesom im gonna make sure wed open bar,1
356,700,need get twitter account way follow dr cullen happi like u,1
357,231,great photograph saw guy play westjet street parti short set awesom nonetheless,1
358,938,happi easter everyon,1
359,974,last least happi bday norway nation day 2day,1
360,174,leav takamin alon buchou feel like acceler takamin depress,0
361,399,happi wellnesswednesday emoji leaf flutter winddyk research indic garden great heal depress anxieti ptsd plu get harvest heal food boost immun moodantidepress microb soil dirt make happi,1
362,945,excus need build photographi empir let anxieti depress hold back,0
363,962,man would awesom bet kid would get along famous mayb one day happen,1
364,394,boy flower awesom special yijung cha gaeul stori tri watch great,1
365,38,one disclos mental ill report second diagnosi bipolar depress session therapist fraud like,0
366,975,day 2 food still gross battl bond depress aweee think broken cute,0
367,136,happi birthday favorit person whole wide world love ab,1
368,29,happi friday hope wellth darl 5 decid cookout happi happi joy joy,1
369,523,anoth day fight sad depress,0
370,203,finish leadig prais worship grace awesomebut nearli awesom god,1
371,2,open invit tweep degre show lsad clare st limerick 13th june 6pm meet get piss welcom let know,0
372,805,last night made well happi drink meadow sunshin,1
373,923,yaaay happi like think im gna blog black betti spank photo princess lt3 hopeschooliscool,1
374,480,stay till 543am selen friend bday awesom,1
375,986,found twitter thank honesti depress sheila walsh help mani peopl talk struggl thank,0
376,328,next 6month im marri quotold manquot happi birthday jeremi,1
377,76,china child poor rural area happi smili face xinwen lianbo oo,1
378,220,final done bathroom almost 2 yr late im happi done ill put pic tmrw good night good morn,1
379,821,remind peopl afford diagnos depress self diagnos u feel sad depress,0
380,861,hello guy today im happi,1
381,154,justic k liy bola nhi jata depress mental ill sb p muh khul jata h,0
382,164,happi thought dont suddenli take away heavi dark weight chest gut dont take hole feel like brain stuck okay need help depress intens need help cant alon,1
383,348,treat like depress stop depress stop tire,0
384,974,happi star war day everyon,1
385,213,ever get happi flex homi depress,1
386,722,depress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress,0
387,847,happi birthday great day thank follow,1
388,444,make funni interweb dreambigfighthard nbinder,1
389,152,parent r happi rest famili wonder memi folk r cool left,1
390,990,blimey kevi thought never gonna come airhaha,0
391,415,bon vérité sai exprim sentiment ment propo refusé vive anxiété bleah paraît ça donné plu depress habitud cett foisci,0
392,333,saw comment would love know blog ff rec work im happi,1
393,675,go next avail mirror look u see gloom despair frustrat depress welcom new,0
394,472,yall im diagnos depress anxieti attack sick friend,0
395,182,thank much learn still pleas keep awesom work vibe cya friday,1
396,784,drown ocean depress,0
397,376,hey homi happi birthday massiv,1
398,998,browni good time day,1
399,95,happi birthday,1
400,607,awesom enjoy awesom sennheis,1
401,792,station wait lauren today awesom jeremi kyleyour fan come ufft jean good idea today,1
402,335,daili regular physic activ go long way keep person healthi happyit help improv memori keep person mental alert activ help fight depress mani diseaseto know,1
403,835,noodl badthey give good balanc nutriti food prepar wellthat get internet happi,1
404,422,bwaaahahaha someon call koala xp tee hee look happi though,1
405,367,10 sale worri pet friday worri pet design childrenadult autism anxieti sensori need standwithsmal sale etsi depress mentalhealth,0
406,482,noth push better like pain depress struggl feed everi second spent upset wast moment happi never get back,1
407,964,depress sad,0
408,764,boomer depressionproof join rank downwardli mobil high earner surpris risk old age poverti trend start coupl year ago pandem acceler,0
409,542,good morn twittervers happi followfriday,1
410,724,aw wa man sad kay mabuhat multipli pictur ang choova ra man,0
411,759,musicmonday happi star war day celebr join,1
412,247,happi mother day havent got mom present yet print amazon gift card,1
413,849,good thing come meet,0
414,106,happi mother day,1
415,302,happi saturday good time rest short visit rome itali great time,1
416,630,funni spongebob imag,1
417,739,dortt awesom congratul,1
418,83,surgeon research mother happi travel day gone occasion runner aspir couch potato find time,1
419,319,sad human be admir other lack tri emul get team,0
420,370,happi birthday see later littl vers go like old time x,1
421,66,came brilliantli impress,1
422,768,awesom play,1
423,936,awesom,1
424,41,relat thu depress pleas pa friend,0
425,612,ich find niemand ist normal bzw gehört der norm depress gehört zu deiner normalität ander haben ein ander normalität wie zb legastheni migrän ptb m bipolarität kleinwuch sehschwäch weiß denn ichirgendwa ist immer da ist die norm,0
426,391,ador,0
427,999,rt a2 well drop state depress opposit state rebuild better peopleskillschat,0
428,834,race awesom final saw jimmi win one person,1
429,742,chang email address old navi newslett got anoth quotthank sign upquot coupon awesom,1
430,267,awesom here great week,1
431,849,usual happen tri talk moreanxieti noonecar depress sad depress bpd,0
432,174,room look like depress season,0
433,323,sadli may right,0
434,837,happi friday eve everyon almost,1
435,477,masala wok awesom enlighten alway great back houston,1
436,412,happi birthday ate judi boardmat dinner downstair,1
437,342,yesterday sooo much fun last night lt3 live long prosper happi mother day,1
438,110,im happi dommi thank attent im happi jason know im care,1
439,802,im depress depress alway attack dont feel ok everyday im fight depress suppos happi today peopl day doesnt care peopl feel,1
440,434,almost complet soullessi incap humani incap inhumani live uncontrollablyit call antidepressiona friend mine suggestedbecaus sad hurt youit brain reaction,0
441,195,ok im likin hubbi idea smart man make ladi happi,1
442,140,happi divers deserv win,1
443,402,depress wave realli hit nowher,0
444,993,wish everyon happi mother day xoxo,1
445,542,tryna listen happi song instead sad song tri undo depress oof,0
446,12,awesom juli 5th save date im excit xoxo,1
447,416,cant sleep cant eat properli im alway sadi want diewelcom depress,0
448,537,love movi zac awesomee,1
449,704,love thowil def keep thatthank much info rock happi sunday,1
450,182,im happi cant wait till august roll around say game go sad time groupi,0
451,471,2 confound gender dysphoria insecuritiesdistress woman face today suggest medic definit symptom unknown herit like say sad year cl,0
452,325,awesom 5 got macbook last year graduat,1
453,53,watch logi eat home made pie pj awesom night,1
454,901,tweet u nowyay happi danc x,1
455,455,tweet sixteen day miss ive fun though ingrid frak awesom bbq today,1
456,655,antidepress daydepress joy antidepress medicin hope rest faith god inspir encourag peac antidepressantoftheday happi,1
457,503,love first saint movi trust presenc ensur one awesom,1
458,910,im sorri feel sad sick hope feel better soon,0
459,654,lmao depress realli tell peopl bad week hit back feel better feel better still wanna hit back sorri sorri hear know good w,0
460,101,mum teacher survivor hscvce pothol road beyond share thing includ anguish distress anxieti depress pa aspect human sometim take need help navig shame ever,0
461,234,normal mental health import struggl mental health long time especi medic gener anxieti lead depress panic disord odc bpd struggl still fight find normal,0
462,515,tech chang way farm awesom,1
463,275,woken two hour fever dream find post back phone messag awesom girl,1
464,763,imma tri use light instead sit dark day mayb cure depress,0
465,25,day 27 even though said 26 30 25 press up day rais awar men mental health ptsd anxieti depress suicid pleasur join step father today suffer depress,0
466,697,wyn take 5 min prepar go mel take 5 hour p happi birthday friend,1
467,674,happi mother day,1
468,657,saw night museum 2 awesom,1
469,128,peopl see death destruct trump win four yearsgood know pandem econom depress wakeup call sigh,0
470,881,depress wake nightmar cannot go back sleep,0
471,659,im happi get,1
472,556,rememb mentalhealth mentalhealthawar anxieti selfcar depress selflov love mentalhealthmatt,0
473,442,happi sunday get readi go church love god much u take care friend,1
474,591,love peopl love human,1
475,72,happi mayb one made day,1
476,769,tri find binder put finish project eep im happi,1
477,854,damn morn depress whole type power,0
478,264,fight addict mental ill depress anxieti death heartbreak suicid alon strong put situat test readi life resili,0
479,519,total awesom,1
480,577,ini foto pertama win yg gue simpen smile soooo freak pure like nobodi beat smile world mayb he angel god send came earth help depress middl pandem situat love much stay safe awin ku,0
481,19,eclips awesom better new moon,1
482,159,final finish break dawn sooo good sad see end tho gonna find food amp get work done rather later,0
483,470,fleabagselfish crocwhen ned shire hors injur leg longer work sad go fear slaughterhous farmer bill wont let old friend help ned overcom depress find new job give ride kidspb dvpit di,0
484,325,awesom onether cool game,1
485,498,mani thank note littl old happi followfriday flatter,1
486,391,singl mai hun neend mujh nahi aati padai mujhs nahi hoti depress mere sath dosti karli hai dhoka mera bhai bana hua hai ab sabk sath jeey kese jeey,0
487,184,awesom btw im stoke get ur cd order,1
488,422,level cute ridicul look happi,1
489,152,happi sunday go ride harley today,1
490,863,depress come wave brother im readi hang 10,0
491,872,im happi found follow elizabeth tweet like medic depress,1
492,855,happi mother day greatest mother day gift see kid serv god,1
493,922,favour accept stop tri fix like im extrem make barbi doll kid play nobodi perfect im happi way right suffer depress bad enough well suffer heavi menstrual vagin bleed,1
494,19,happi mandi safe trip never va beach enjoy,1
495,237,liter gaslight ex bipolar toxic manipul trait liter perfect fuck ill expect u perfect romantic depress call peopl bpd crazi breath,0
496,162,awww husband cook u awesom time girl love,1
497,613,build hous cheap realli make much money happi work,1
498,146,point timehav comment case specificsi policei particip circu conspiraci theoriesmi issu peopl think mental strong cant depressioni concern mental health issu convers,0
499,107,see haha wait check band myspac page got stay music definit awesom,1
500,185,happi hear well cannot complain life good got health roof head,1
501,152,wish could one day actual happi ala depress bpd let happen,1
502,163,makapuu beach 2 camera phone awesom captur blue,1
503,144,feel bad homi sooooooo much depress,0
504,358,love c graffiti life show awesom night im realli proud didnt feel need hold back feel,1
505,804,realli sad one atalanta forward josip iličić found wife cheat went surpris slovenia he depress consid quit footbal iličić go play v psg biggest game life,0
506,698,build collaps survivor prone depress aggress,0
507,749,unconfirm rumor appear josip ilicič might consid retir footbal fell deep depress caught wife cheat sad,0
508,714,woke uphappi mother day,1
509,252,depress decid rear ugli head sadli spark jealousi hate jealou day kinda tank week plung depth,0
510,555,found bought awesom book today entitl quot20 essay written 20 somethingsquot,1
511,124,awesom super stoke new album,1
512,287,make happi happi mother day thank mother cuz cute friend would possibl without,1
513,39,happi birthday bestfriend jacklyn nicol decastro love beezi,1
514,557,ich glaub da ist ein wichtig punkt weder die bedürfniss noch die wünsche werden erfüllt vorallem ärmere menschen haben oft viel leidenschaft und interess und nicht wird erfüllt da treibt viel weiter die depress b,0
515,129,social anxieti ocd epilepsi short term memori loss due antiepilept drug depress make life hell im live three import peopl life pretend sometim lie everyth fine life,0
516,72,thank happi mother day,1
517,835,mental weak refer neg much anxieti depress thought insid mind identifi get emot time lack selfconfid anxieti depress overthink take lot unnecessari tension etcbeawar,0
518,141,hope u alotta fun see green day theyr awesom band,1
519,9,depress dy blow hope pass soon,0
520,279,studi happi 420 everyon xx,1
521,149,look forward beauti relax weekend game 3 tonight happi memori day weekend,1
522,21,oh hard get motiv start work lazi happi friday weekend almost,1
523,274,anyon ever feel like u actual suffer mild depress like u r say u realli depress u got like small portion deep sad insid u r deni lie heart bcuz yknow u keep deni anyway,0
524,157,depress mani cluster look differ even similar peopl mentalhealth,0
525,647,fuck hate peopl much peopl go depress start think happi thought cure cool didnt depress sad,0
526,692,say happi wed peac,1
527,37,long nap make happi,1
528,277,happi birthday lt3,1
529,946,person seen increas suicid od watch number friend famili struggl deep depress know anecdot believ trend other see well,0
530,537,ever wit downward spiral overtir child happi alert suddenli cranki link insomnia depress dr tammra warbi answer mani question mindset drtammrawarbi,1
531,870,pleas depress disappear shit haunt daili dream realli nice never materi fear sad emot rule mind sorri vent know im loser hey thing could chang hope pray happen foe,0
532,813,happi birthday grandpa 3 cat still love,1
533,856,welcom futur fun yetnncryptochef nutrofuturistnnnj american nnu2764 block bigot nncancelfacebook,1
534,839,im sad dont know assum depress decid kick teeth like asshol,0
535,827,im lucki great friend would drive 7 hour way watch raceawesom thank guy,1
536,998,realli want depress want night dont cri sleep anymor want happi want,1
537,321,mount evid show exercis prevent depress yep that happi,1
538,26,happi birthday wonder mother,1
539,610,happi birthday dad,1
540,644,back fantast birthday gather hyde park full sunshin fantast food pure glee awesom friend awesom,1
541,969,brew coffe boot stream depress isnt crippl today want take advantag,0
542,105,stop make depressionanxietyment health issu trend caus sure hell lot fake depress peopl,0
543,992,relat funni content 1 follow thank u2665ufe0f,1
544,342,yeah im never prepar ff never list name write pretti sad,0
545,22,a3 your fill anxieti depress well loneli peopkeskillschat,0
546,318,depress sad 5 sign depress mani word one voic,0
547,509,today sad day thank good iou,0
548,719,golden girl make sooo happi crazi day gotta take easi,1
549,542,tri ask im sure happi help,1
550,737,oh god your rightemoji cri face im sad need depress nap,0
551,123,go sleep sound halo 3 two happi boy,1
552,904,heeyyy thank vote happi support kiss cute rain,1
553,394,good luck depress real stuck insid head rather pay attent outer help tremend emoji face savour delici foodemoji umbrellahav good luck stay busi stay happyemoji,1
554,661,clinic depress way choos view world caus churn toxic hatr,1
555,42,awesom show tonight boy wish cldve gone watch u guy,1
556,190,hey everyon look great peopl follow follow sinc awesom follow,1
557,83,treat work relat depress kalm centr todayth mental health employe imper success organ sadli mental health employe often overlook corpor world,0
558,427,leg crippl like realli cant walk well sad love new tattoo though,0
559,104,1st wed anniversari today here mani bliss happi year togeth,1
560,739,happi mother day mom,1
561,612,anyth show bit cuz depress symptom come back leav super unmotiv share old work still love make happi miss paint anim digitalart illustr,0
562,466,numberproxim peopl lowkey live depress shock peopl aint even awar theyr sometim listen someon speak le show every1 concern bout heard listen leanonmedearhuman icar,0
563,201,mood sai si post dépression tou soul,0
564,38,ask someon today yesterday oh clean much much actual plan tomorrow nice thing doubli nice person deal depress,0
565,813,depress long rememb normal manag know shit rough anxieti also bitch gotta figur plan also mess sleep,0
566,209,yepand suicid depress isnt taken serious countrycyb bulli seen joke tear anoth ego wht like abwt life teach neg peopl lesson xem,0
567,998,hi realli sad month post school depress real still shake thing withhold happi mani time thought death would easierbut thing differ,0
568,744,back recessiondepress last time gop offic took presid obama 8 year bring u back track 3 12 year trump destroy make mistak recess covid made wors vote blue trump given,0
569,196,happi weekend great father good morn yet side globe,1
570,765,hmmmmwhat doingim sing awesom song ima go see movi calledtermin salvat oh yea bitch xd,1
571,822,happi hear,1
572,502,smile even forc indic mind your happi turn caus brain releas endorphin bodi feelgood chemic combat depress anxieti,1
573,193,wherea show tv design make feel guilti larg regardless whether your otherwis happi size notthos wonder improv depress peopl right,1
574,130,baptiz awesom god,1
575,961,happi 1st high five dude,1
576,294,im happi answer cant blip bc im camp realli miss ill blip tomorrow obrigada btw,1
577,845,sadden much mental health realli chang depress thief,0
578,38,a2 well drop state depress opposit state rebuild better peopleskillschat,0
579,769,got see coalesc destroy low ceil gutair player use sheetrock play guitar awesom,1
580,892,sad male child given emot support need develop healthi brain develop suffer anxieti depress result studi shown see famili need 2 parent boy intent,0
581,384,depress ill shouldnt much stigma,0
582,485,homee livi sweet wa fuckingg awesome,1
583,915,happi anoth puppylick,1
584,6,love selena gomez your beauti your role model idol would happi repli,1
585,870,imagin develop multipl anxieti depress 8 one know least could breath suppos,0
586,374,thank much followfriday shout your awesom,1
587,836,happi mother day mom tough job total worth,1
588,834,shizu best healer heal sad depress voic,0
589,40,peopl may say cant sad someon els may wors like say someon cant happi someon els might better depress one dehuman tire emot experi anyon encount life,1
590,696,hate adult cant listen friend without get depress 2,0
591,949,elizabeth freakin awesom she follow,1
592,766,kid right even notic depress,0
593,765,fear woman atalanta forward josip iličić found wife cheat went surpris slovenia he depress consid quit footbal,0
594,151,differ anxiou everi anxieti differ sad depress know differ go read book open mouth tri tell someon get,0
595,459,happi birthday x,1
596,177,awesom footbal stadium,1
597,101,happi mother dayi breakfast mommaa,1
598,151,tenth tro depress 2020 hurrican season form coast africa tro hurricaneseason,0
599,676,exactli never heard someon explain way that exactli explain husband sad arent mainstream book real person real problem depress isnt play victim,0
600,390,awesom background,1
601,698,wut u tryna say lol every1 shud happi get shower,1
602,675,hoppusday happi hoppu day rock,1
603,579,glad happi tummi,1
604,66,tw depress friend made realli depress ask mental disord got diagnos w medic got hate talk abt sudden amd realli ruin mood,0
605,494,degre child famili developmentni love work child decor laugh fun love spend qualiti time famili u2764,1
606,567,craziest thing depress alway think ive hit rock bottom shit couldnt get wors today turn costco churro caus sad cri eat churro realiz definit rock bottom isnt,0
607,10,love demi new album cover awesom cant wait song,1
608,556,bout hit sackgot shit tomorrow happi mother day mom,1
609,963,posit funni,1
610,464,ill tri jump start happi text everyon 10 min text everyon dont want talk anyon fuck depress,0
611,270,im sad realli wish whenev log aim youd guess bad time lol georgia trip weekend,0
612,948,happi birthday snicker hope best day ever let go shop,1
613,904,happi birthday big ben may chime anoth 150 year,1
614,686,im happi sunnybut rumor chilli outsid,1
615,96,sad depress seriou case dont know person fight insid,0
616,882,bake cake babi sleep tomorrow go awesomesauc,1
617,670,depress one hardest thing deal peopl never understand fuck peopl talk dope soul long known happi see better posit vibe way,0
618,133,im go see next week chicago im excit depress gone asthma heal happi person see ya hous blue b emoji smile face open mouth smile eyesemoji smile face open mouth smile eyesemoji smile face open mouth smile eye,1
619,957,fren depressionm u diagnosedfren know depressionm yea u diagnosedfren know dome u knowfren tear im sad time life suck fake weep sound,0
620,503,happi mother day mother life,1
621,18,talk footbal lunchtimeanyth wors happi hoppusday everyon mother day fuckinamptouchinampsuckin hahhah,1
622,390,phase depress,0
623,352,woopra pretti awesom get visitor see happen live,1
624,273,congrat cooler happi birthday miss love,1
625,216,say hate peopl depress go your hide well,0
626,59,aj rafael awesom musician famou youtub cover song dont forget pleas watch good,1
627,346,netflix awesom custom servic mention great product,1
628,760,girl work pull bibl breakroom convers heart smile awesom,1
629,916,happi birthday take plenti youll rememb later,1
630,528,anxieti depress soooooo fuck bad late pleas dm way sad piec shit time pleas thank,0
631,864,freak circu awesom dude love,1
632,929,awesom got busi two week uni birthday melbourn,1
633,313,crazi mani member famili point exhibit side depress grandma aunt cousin everyon talk like thing ridicul even talk,0
634,269,went 2 wallyworld today awesom time get kewl easter basket nitelit comput,1
635,394,ji din sab sahi ho u din yeh soch ke depress ho jata hai ke sab sahi kais hai,0
636,901,swara r uh realli ur mind kya apko khali depress hi dekh raa mtlb kuch bhi khe hum toh sucid hi boleyga mtlb etn sara evid etn sare log jinko yeh dekh raa ki yeh murder h appl apna dimag use krna sikho,0
637,506,fight depress isnt easi still get uncontrol sad know that want,0
638,38,thank ff mention awesom,1
639,587,mackenzi mckee open depress greif emot,0
640,636,poor covid19 respons push u edg depress,0
641,624,im happi didnt enter,1
642,248,here know farthi depress instead keep top thing pull sheet head feck worldhad ultrasound done leg happi circul problem howev infect,1
643,930,yummi cant beat cook flower birthday tell happi birthday,1
644,499,awesom love draw hope youll ever see hope youll come holland soon,1
645,168,lol your awesom hayley paramor rock love colombia,1
646,177,got new tattoo yesterday mama lion 3 cub love repres kid soooooooooooooo cute happi,1
647,92,12 someon clinic diagnos sociopathi convincingli appear neuroti stop someon autism spectrum mask know arent disord peopl anxieti hide peopl depress peopl bpd,0
648,207,fun luve posit think guy live life fullest,1
649,270,ye better still he tackl depress lot exercis talk therapi im happi flo x,1
650,603,depress hit harder weed,0
651,764,happi today shoppingday,1
652,214,lol that awesom,1
653,15,depress real idk peopl joke caus see someon smile mean fight,0
654,919,depress commit suicid littl sensibl mental health exist like diseas pleas dont demean someon depress say let rememb depress guy hero reread sentenc youll understand point,0
655,818,world need fuck right im done everyth get dont want world alreadi kill hope dream ambit enjoy dont wanna anymor either mentalhealth depress suicideprevent,0
656,232,happi atamptbold user,1
657,762,beauti lb happi birthday welcom 25 club,1
658,777,happi mother day strong hard work mother may god bless famili,1
659,392,awesom night brueck thank kristi amp bart cant wait hous smell yummi,1
660,172,tweep ima get sum sleep awesom nite peac love,1
661,442,happi mother day,1
662,841,thank much im surpris happi,1
663,63,happi birthday,1
664,483,miss u im happi u pass ur test u shld proud,1
665,137,great veggi lasagna happi marathon monday boston folk,1
666,255,peopl may say cant sad someon els may wors like say someon cant happi someon els might better depress one dehuman tire emot experi anyon encount life,0
667,636,hug simpli meant alot u sad sure depress though,0
668,562,happi 19th birthday chryslyn,1
669,856,tryna listen happi song instead sad song tri undo depress oof,1
